Baba;49.79528;14.71333;Benešov;
Babčice;49.46778;14.90028;Tábor;
Babětín;50.70833;14.22056;Děčín;
Babí;50.43194;16.17806;Náchod;
Babí;50.62167;15.90194;Trutnov;
Babice;49.65222;14.58556;Benešov;
Babice;49.60778;12.78361;Domažlice;
Babice;49.63306;15.47722;Havlíčkův Brod;
Babice;50.19167;15.58583;Hradec Králové;
Babice;50.00583;12.81056;Karlovy Vary;
Babice;49.73750;17.26000;Olomouc;
Babice;49.54000;15.05667;Pelhřimov;
Babice;49.02667;14.23861;Prachatice;
Babice;49.87889;14.62750;Praha-východ;
Babice;50.01028;14.72389;Praha-východ;
Babice;49.12250;15.76972;Třebíč;
Babice;49.12306;17.48250;Uherské Hradiště;
Babice;49.45833;17.78917;Vsetín;
Babice nad Svitavou;49.28417;16.69556;Brno-venkov;
Babice u Rosic;49.17528;16.36444;Brno-venkov;
Babín;49.34750;13.72944;Klatovy;
Babín;49.34389;15.08333;Pelhřimov;
Babina;49.93861;13.43306;Plzeň-sever;
Babínka;49.34417;15.09250;Pelhřimov;
Babiny;50.59944;14.12944;Ústí nad Labem;
Babiny II;50.64222;14.18250;Ústí nad Labem;
Babolky;49.59028;16.58056;Blansko;
Bábovec;48.93694;16.04694;Znojmo;
Babská;49.37861;18.38111;Vsetín;
Babylon;50.64389;14.47194;Česká Lípa;
Babylon;49.39917;12.86000;Domažlice;
Bacov;49.68500;15.28222;Havlíčkův Brod;
Bacov;50.48694;15.21583;Jičín;
Bácov;49.44944;18.25500;Vsetín;
Bácovice;49.47806;15.16694;Pelhřimov;
Bácovská Hospoda;49.48056;15.15944;Pelhřimov;
Bačalky;50.38417;15.16167;Jičín;
Bačetín;50.29972;16.23639;Rychnov nad Kněžnou;
Bačice;49.08694;16.02750;Třebíč;
Bačkory;49.71972;14.40444;Příbram;
Bačkov;49.73472;15.46333;Havlíčkův Brod;
Bačkovice;48.96861;15.58917;Třebíč;
Bačov;49.52722;16.64472;Blansko;
Bačov;50.58222;15.29472;Semily;
Bahna;49.60056;16.57111;Blansko;
Bahna;49.75417;16.00694;Chrudim;
Bahno;49.87139;15.23583;Kutná Hora;
Bahýnko;49.86556;15.22056;Kutná Hora;
Bajajka;49.37639;17.16722;Prostějov;
Bakov;50.26500;14.09750;Kladno;
Bakov;50.43556;16.08750;Náchod;
Bakov nad Jizerou;50.47472;14.93972;Mladá Boleslav;
Baldov;49.46500;12.92028;Domažlice;
Baldovec;49.40917;16.82389;Prostějov;
Baliny;49.33944;15.95750;Žďár nad Sázavou;
